#At time x allocated y bytes for process z from i to j
At time 1 allocated 200 bytes for process 1 from 0 to 255
At time 7 freed 200 bytes from process 1 from 0 to 255
At time 7 allocated 400 bytes for process 2 from 0 to 511
At time 13 freed 400 bytes from process 2 from 0 to 511
At time 13 allocated 5 bytes for process 5 from 0 to 7
At time 15 freed 5 bytes from process 5 from 0 to 7
At time 15 allocated 100 bytes for process 4 from 0 to 127
At time 22 freed 100 bytes from process 4 from 0 to 127
At time 22 allocated 400 bytes for process 3 from 0 to 511
At time 32 freed 400 bytes from process 3 from 0 to 511
